xfold,architecture,fold_desc
6008,few secondary structure elements,N-terminal A Domain of voltage-gated Ca2+ channel beta4a subunit
3943,beta sandwiches,Flagellar hook-associated protein 1 beta-sandwich domains
3430,a+b complex topology,Primosome assembly protein PriA 3' DNA-binding domain
4082,alpha duplicates or obligate multimers,Hairy Orange domain
4247,a+b duplicates or obligate multimers,TTHC002-like
4224,few secondary structure elements,CHY zinc finger
4106,few secondary structure elements,Zinc hairpin stack
4098,a+b duplicates or obligate multimers,YopT-like
6001,alpha arrays,"Coronavirus main proteinase (3Cl-pro, putative coronavirus nsp2) C-terminal domain"
6023,beta barrels,Restriction endonuclease PabI
3431,alpha bundles,Helical domain in autophagy protein 5
6046,few secondary structure elements,Diapausin
6026,alpha duplicates or obligate multimers,cwf21 domain
6053,a+b two layers,TT1592-like
4163,alpha bundles,GINS helical bundle-like
4311,alpha complex topology,PMT central region-like
4244,a/b three-layered sandwiches,EreA/ChaN-like
4242,beta sandwiches,WSSV envelope protein-like
3922,alpha bundles,Helical domain in structural maintenance of chromosomes protein 3
3805,alpha bundles,Hypothetical protein TTHB059
615,alpha arrays,T4 endonuclease V
3654,alpha arrays,Insertion region of FTHFS domain
4990,alpha arrays,Lipase chaperone LifO-like
4254,alpha arrays,YoaC-like
4119,alpha bundles,YfmB-like
183,alpha duplicates or obligate multimers,"Iron-dependent repressor protein, dimerization domain"
4113,beta barrels,VC0467-like
4192,alpha bundles,DNA terminal protein C-terminal domain
4161,beta complex topology,MOSC N-terminal domain-like
4354,a+b two layers,TRCF domain
541,alpha duplicates or obligate multimers,Dimerization-anchoring domain of cAMP-dependent type II PK regulatory subunit
4993,extended segments,Glu-tRNAGln amidotransferase C subunit
4178,beta sandwiches,"Putative glucosidase YicI, C-terminal domain"
3685,a+b two layers,Putative acetamidase tm0119 C-terminal domain
3424,alpha arrays,Virion protein UL25
3426,beta meanders,Telethonin
4279,a+b three layers,DisA nucleotide-binding domain
4102,a+b duplicates or obligate multimers,AF2331-like
4079,alpha bundles,PA2201 C-terminal domain-like
4221,a+b two layers,YkuJ-like
3767,a+b two layers,Giardia Dicer N-terminal domain
3766,alpha arrays,Giardia Dicer helical domain bridging RNase IIIa and RNase IIIb
4105,extended segments,TSP9-like
3425,a+b three layers,Two-component system yycF/yycG regulatory protein yycH-like
3806,alpha complex topology,Carboxysomal shell beta carbonic anhydrase N-terminal domain
4159,alpha arrays,SP0561-like
4222,a+b two layers,ImmE5-like
3429,a+b three layers,Late genes activator p4
4067,alpha bundles,FdhE-like
4255,few secondary structure elements,E6 C-terminal domain-like
4080,alpha bundles,SipA N-terminal domain-like
4991,extended segments,Lag-3 N-terminal region
6015,a+b two layers,Hypothetical protein TA0938
4172,a+b duplicates or obligate multimers,Phosphoprotein oligomerization domain-like
7578,a/b three-layered sandwiches,PhnH-like
4099,a+b two layers,Kinetochore globular domain-like
4335,a/b three-layered sandwiches,Nqo1 FMN-binding domain-like
3697,alpha bundles,NQO2 helical bundle domain
5100,extended segments,iron-sulfur center-binding helical hairpin
4272,a+b two layers,Nqo5-like
4136,few secondary structure elements,Coronavirus NSP10-like
3698,beta sandwiches,Arginine methyltransferase oligomerization subdomain
5018,extended segments,Subunit XI (6.4 kDa protein) of cytochrome bc1 complex (Ubiquinol-cytochrome c reductase)
4347,a+b complex topology,USP8 interacting domain
3718,alpha bundles,Flagellar protein fliT
809,a+b two layers,BLIP-like
3434,alpha bundles,CAG pathogenicity island protein 13
4353,a/b three-layered sandwiches,C-terminal domain in CAC2185-like proteins
4288,alpha duplicates or obligate multimers,TraM-like
4339,alpha arrays,N-terminal helical domain in Poxvirus poly(A) polymerase catalytic subunit
4945,a+b complex topology,C-terminal a+b domain in Poly(A) polymerase catalytic subunit
2501,a/b three-layered sandwiches,Peptidyl-tRNA hydrolase II
4994,alpha duplicates or obligate multimers,EF2458-like
4356,beta complex topology,Coronavirus nsp1
4169,a+b three layers,Coronavirus spike protein receptor-binding domain
4269,a+b two layers,NMB0488-like
4303,alpha arrays,lvD/EDD N-terminal domain-like
4152,a+b two layers,Shew3726-like
4155,alpha arrays,RPA2825-like
3953,a+b two layers,Csd3 N-terminal domain
4300,beta complex topology,Viral glycoprotein ectodomain-like
1058,extended segments,Herpes DNA polymerase N-terminal domain
4258,mixed a+b and a/b,Ns1 effector domain-like
630,a+b complex topology,"RuBisCo LSMT C-terminal, substrate-binding domain"
3538,extended segments,MerF
4302,a+b duplicates or obligate multimers,BLRF2-like
4319,a+b duplicates or obligate multimers,Yonk-like
4198,alpha arrays,TerB-like
4943,a+b two layers,YcgL/NE1680-like
3807,alpha bundles,Yersinia protein kinase A (YpkA) Rho-GTPase binding domain
6066,alpha duplicates or obligate multimers,Transmembrane domain of CD3 zeta chain
4292,a+b two layers,FlaG-like
3427,beta barrels,Catalytic domain of hepatitis C virus NS2-3 protease
4164,a+b complex topology,PA1123-like
4989,a+b two layers,XkdW-like
4125,alpha superhelices,BH3980-like
3826,alpha bundles,Copper-sensitive operon repressor (CsoR)
4317,a+b duplicates or obligate multimers,YdfO-like
3584,alpha arrays,DNA polymerase III finger domain
3585,a+b two layers,DNA polymerase III C-terminal domain
4089,a+b two layers,PH1570-like
7503,a/b three-layered sandwiches,"TolB, N-terminal domain"
6024,few secondary structure elements,2Fe-2S binding domain in CopZ
5102,alpha arrays,C-terminal helical domain in Atu1540-like proteins
1075,alpha bundles,Type II ABC exporter transmembrane domain fold
7513,a/b three-layered sandwiches,CofD-like
4130,alpha arrays,MG296-like
4999,beta barrels,"YopX, C-terminal domain-like"
4112,beta duplicates or obligate multimers,"YopX, N-terminal domain-like"
5059,alpha bundles,Drug/Metabolite transporter
3432,alpha bundles,Minor nucleoprotein VP30 C-terminal domain
4236,few secondary structure elements,Sec-C motif
4180,a+b two layers,SpoVG-like
4090,a+b two layers,BH3703-like
4097,a+b two layers,Lp2179-like
4336,alpha duplicates or obligate multimers,YheA/YmcA-like
4205,a+b two layers,SMI1/KNR4-like
4252,beta barrels,AttH-like
3688,a+b two layers,N-terminal subdomain in UbiD middle domain
4239,alpha arrays,DNA polymerase III theta subunit-like
4314,alpha arrays,helical domain in Api92-like proteins
4200,beta barrels,YmcC-like
4944,alpha bundles,Helical bundle in flu nucleocapsid protein
4322,a+b complex topology,Flu NP-like
5042,extended segments,"Magnesium transport protein CorA, transmembrane region"
3454,beta barrels,GspC HR domain/PilP-like
6088,alpha arrays,Helical bundle domain in elongation factor 3A
3340,extended segments,Helical region in REST corepressor 1
4273,alpha arrays,PTPA-like
4132,alpha bundles,IpaD-like
4987,few secondary structure elements,Ribosomal protein L31p
4281,a+b two layers,Ribosomal protein L35p
4186,beta barrels,Ribosomal protein L21p
3628,a+b complex topology,Transcription factor tau 60 kDa subunit
4320,alpha superhelices,Taf5 N-terminal domain-like
6016,a+b two layers,Domain 1 of outer membrane lipoprotein Wza
6017,extended segments,Transmembrane helix of outer membrane lipoprotein Wza
6063,alpha duplicates or obligate multimers,BNIP3 transmembrane domain
3615,alpha bundles,Bacterial dynamin-like protein helical domain
4259,a+b complex topology,STIV B116-like
3589,a+b complex topology,RNAi polymerase N-terminal domain
3588,alpha complex topology,RNAi polymerase helical domain
6013,alpha arrays,C-terminal domains of CstF-64
160,alpha superhelices,C-terminal domain of alpha and beta subunits of F1 ATP synthase
4264,a+b two layers,PB2 C-terminal domain-like
3437,a+b two layers,Cytochrome P460
4240,alpha arrays,Rv1873-like
6094,a+b two layers,KS-MAT linker domain in fatty acid synthase
6030,a+b two layers,Middle domain of ribosomal protein S2-related protein
6031,alpha arrays,C-terminal 4Fe-4S binding domain of ribosomal protein S2-related protein
3436,alpha bundles,VP4 GT domain
4087,beta barrels,NifT/FixU
3525,alpha arrays,Bromodomain-containing protein 4 ET domain
6033,extended segments,FXYD family
3527,alpha complex topology,adhesion protein Bd37
4142,a+b two layers,YehR-like
6059,alpha bundles,X8 domain
4328,beta sandwiches,CPE0013-like
6068,alpha arrays,T4 Bacteriophage Helicase Uvsw.1
3522,extended segments,Apolipoprotein C-III
4144,alpha duplicates or obligate multimers,YejL-like
6029,beta meanders,Hemin uptake protein hemP
6028,alpha bundles,Ribosome modulation factor
6041,a+b two layers,DUF1107-like
3533,few secondary structure elements,I-superfamily conotoxin r11a
6032,a+b two layers,DUF3222-like
6054,alpha arrays,C-terminus of TFIIE alpha
3557,extended segments,cGMP phosphodiesterase gamma subunit
6114,beta barrels,Internal protein I
3505,alpha arrays,Calcium-binding protein
3115,a+b two layers,GP2-like
6060,alpha arrays,Yst0336-like
3556,a+b two layers,Uncharacterized Protein Rru_A0810
3793,alpha complex topology,Potassium channel modulator KCNE1
3072,a+b complex topology,Hypothetical protein TA0956
3503,alpha bundles,Mechanosensory ion channel subunit mec-4 cytosolic domain
3519,beta complex topology,Myoferlin inner DysF domain
3510,extended segments,Chlorosome Protein A
3545,alpha complex topology,Helical integral membrane protein Rv1761c
3640,alpha duplicates or obligate multimers,Minor ampullate fibroin 1 C-terminal domain
4325,mixed a+b and a/b,YegP-like
6065,extended segments,Cytoplasmic domain of CD3 epsilon chain
3514,a+b two layers,uncharacterized protein PA1076
3550,extended segments,uncharacterized protein RhR2
3655,extended segments,Methanogenic A1A0 ATP synthase stalk subunit H dimerization domain
3498,alpha arrays,RNA polymerase sigma factor rpoD N-terminal domain
3067,few secondary structure elements,N-terminal domain of helicase-loading protein DnaI
3508,a/b three-layered sandwiches,Nucleic acid-binding domain of nonstructural protein 3
3462,extended segments,V-type proton ATPase subunit G
3075,a+b two layers,ubiquitin-binding domain from PLAA
3163,extended segments,p53 transactivation domain
3495,alpha bundles,Integrin alpha-L cytoplasmic domain
4000,a+b two layers,Escherichia coli HybE
3086,alpha bundles,Diacylglycerol kinase (DAGK)
3674,a+b duplicates or obligate multimers,Borealin C-terminal dimerization domain
3656,extended segments,UIM domain
3122,a+b complex topology,MESD
3261,a+b two layers,amino-terminal domain of OmpATb
3313,a+b two layers,Uncharacterized protein VC_A0919
3171,alpha arrays,Nitrogenase gamma subunit N-terminal domain
3808,alpha arrays,Archaeal protein SSO6904
3093,extended segments,inhibitory phosphorylation domain of myosin phosphatase targeting subunit 1
3464,extended segments,Helical region in V-type proton ATPase subunit E
3109,few secondary structure elements,CXXC domain-like
3092,alpha arrays,yeast protein YOR252W
3141,few secondary structure elements,SCA7 zinc finger domain
3244,extended segments,Alpha-synuclein
3085,a+b complex topology,Uncharacterized protein yutD
3119,few secondary structure elements,CopK
3476,alpha arrays,RecQL4 helicase N-terminal domain
3090,few secondary structure elements,Microplusin
3098,a+b two layers,Uncharacterized protein ATC0905
3128,alpha arrays,Nogo-66
3094,alpha arrays,Uncharacterized protein yihD
3100,extended segments,Synaptobrevin
3099,alpha arrays,Uncharacterized protein CV0237
3470,extended segments,Glycophorin-A transmembrane domain
3414,beta sandwiches,A putative surface protein
3108,a+b two layers,Uncharacterized protein Atu1219
3105,a+b three layers,thylakoid acid phosphatase domain-related
3238,alpha superhelices,Mitochondrial mTERF-like
1089,a+b two layers,Asparaginal-tRNA synthetase N-terminal domain
3206,alpha arrays,C-terminal domain of hRpn13
3107,few secondary structure elements,Amino-terminal Zn-finger of Ube3a ligase (AZUL)
3542,alpha arrays,Presenilin family intramembrane aspartate proteases
3250,extended segments,C-terminal region of sodium/hydrogen exchange regulatory factor 1
3480,a+b duplicates or obligate multimers,Lipoprotein-associated type-17-domain
3125,alpha arrays,Asl3597
3112,beta barrels,Uncharacterized protein Dsy0195
3478,extended segments,Histidine kinase receptor ArcB membrane domain
3479,extended segments,Histidine kinase receptor QseC membrane domain
3134,a+b two layers,N-terminal domain of DC-UbP
3114,beta sandwiches,Mucin-binding protein domain
3116,a+b two layers,Probable 30S ribosomal protein PSRP-3
3142,alpha arrays,a domain of protein A6KY75
3129,few secondary structure elements,PBZ domain
3716,alpha arrays,DUF3349
3459,beta sandwiches,Fas apoptotic inhibitory molecule
3159,extended segments,N-terminal domain of RFX5
3475,extended segments,Regulatory factor X-associated protein C-terminal domain
3717,alpha bundles,Cyclin-dependent kinase 2-associated protein 1 C-terminal domain
3469,extended segments,Ubiquitin-binding motif (UBM)
3144,alpha arrays,PBS linker domain of phycobilisome linker polypeptide
3809,alpha bundles,Uncharacterized protein CV0426
3810,alpha duplicates or obligate multimers,Uncharacterized protein YP_510488.1
3164,few secondary structure elements,Zinc-binding domain in Junin virus envelope glycoprotein
3473,extended segments,Twin-arginine transport (Tat) system component TatA
3154,alpha bundles,YP_399305.1
3155,a+b two layers,Uncharacterized protein yohN
3178,extended segments,Telomere length regulator taz1
3242,alpha arrays,Uncharacterized protein BVU_3817 C-terminal domain
3170,a+b two layers,uncharacterized protein YP_926445.1
4168,alpha duplicates or obligate multimers,HAMP domain
3179,alpha arrays,Uncharacterized protein CD1104.2
3458,a+b two layers,Nonstructural protein 7 alpha
3673,alpha duplicates or obligate multimers,Pathogenicity island 1 protein gp6
3184,alpha bundles,mRNA 3'-end-processing protein Rna15p hinge domain
3418,alpha arrays,Matrix protein 2-1 core domain
3189,extended segments,small heat shock protein (Hsp12)
3446,alpha bundles,Avirulence protein ATR13
3455,alpha arrays,WY-domain in RXLR effectors
3441,alpha bundles,Bc28.1
3204,extended segments,N-terminal regulatory segment of carnitine palmitoyltransferase 1A
3197,a+b two layers,N-terminal domain of effector protein PipB2
3331,a+b two layers,Uncharacterized protein yibL
3193,alpha arrays,HopAB effectors Pto-binding domain-related
3879,extended segments,Anti sigma factor NepR-related
3370,beta sandwiches,Lactococcin 972
3442,alpha duplicates or obligate multimers,N-terminal homodimeric region of Rtt106
3373,few secondary structure elements,Cellophane-induced 1 (cin1) repeats
3450,alpha arrays,Myosin-binding motif (m-domain) C-terminal subdomain
3364,few secondary structure elements,Epidermal patterning factor-like protein 9
3203,a+b two layers,Putative oxidoreductase
3202,a+b two layers,Alr2454 protein
3444,alpha arrays,DP domain
3354,extended segments,C-terminal domain of VP7
3645,few secondary structure elements,Pheromone ESP1
3411,few secondary structure elements,Conotoxin im17a
3445,beta barrels,Uncharacterized protein from gene locus rrnAC0354
3443,alpha duplicates or obligate multimers,Get5 carboxyl domain
3396,extended segments,HIG1 domain family member 1A
3395,extended segments,Transmembrane protein 14A
3440,extended segments,Interferon alpha-inducible protein 27-like protein 1
3394,extended segments,Transmembrane protein 141
3416,a+b complex topology,Mediator co-activator domain 1 of Gal11/med15
3602,alpha bundles,Kinase suppressor of Ras 1 helical hairpin domain
3811,alpha bundles,Decorin-binding protein A
3399,alpha arrays,Acanthaporin
6062,beta barrels,Target recognition domain of zoocin A
3731,a+b two layers,Uncharacterized protein PA1075
3363,beta sandwiches,avirulence protein AvrPiz-t homologs
3361,alpha bundles,C-terminal Pdr1-activating domain of J-protein Zuo1
3357,extended segments,DCP1-binding motif
3774,extended segments,Fibroblast growth factor receptor 3 transmembrane domain
3568,extended segments,Splicing factor 1 N-terminal domain
3246,few secondary structure elements,Disulfide-rich domain in A Disintegrin And Metalloprotease (ADAM) domain-containing proteins
6099,alpha arrays,Uncharacterized protein VV2_0175
3639,alpha arrays,Virus VPg protein
6128,alpha duplicates or obligate multimers,P7 channel of Hepatitis C virus
3885,few secondary structure elements,Type AII lantibiotic bovicin HJ50
3065,alpha bundles,Fatty acid- and retinoid-binding proteins
3795,extended segments,Norovirus NS1/2 N-terminal domain
6149,a+b two layers,Uncharacterized protein TGAM_1934
3784,a+b two layers,Putative lipoprotein CPF_1278-related
6169,extended segments,Transmembrane segment of lysosome-associated membrane glycoprotein 2
3861,alpha bundles,Mitochondrial translocator protein (TSPO)
3797,beta meanders,Uncharacterized protein PA5494
3874,extended segments,Agnoprotein
6153,alpha arrays,DP domain
3918,a+b duplicates or obligate multimers,AbrB C-terminal domain
3947,few secondary structure elements,PSCD domain of pleuralin-1
6160,extended segments,Toll-like receptor 3 transmembrane domain
3862,extended segments,Envelope small membrane protein
3875,alpha arrays,Uncharacterized protein ABAYE3142
3891,a+b two layers,Archaea-specific ribosomal protein L46a
3928,alpha bundles,Cell division protein CrgA
3956,a+b two layers,Hypothetical protein Q4D059
3951,a+b two layers,BPSL1050
3895,extended segments,YgaP transmembrane domain
6150,a+b two layers,hypotheical protein Lreu_0056
3898,a+b two layers,Uncharacterized protein BTH I2711
3958,extended segments,Cell division factor MciZ
3963,extended segments,Stage V sporulation protein M
3982,a+b complex topology,lantibiotic self-resistance lipoprotein MlbQ
3935,extended segments,4E-BP2
3938,alpha arrays,Heterogeneous nuclear ribonucleoprotein Q acidic domain
3964,beta meanders,OCRE domain of RBM10
3972,alpha bundles,Amylase-binding protein AbpA
3952,few secondary structure elements,Pre-mRNA-splicing factor BUD31
3974,beta duplicates or obligate multimers,EBNA-2 N-terminal dimerization (END) domain
1067,few secondary structure elements,pheromone Ep-1
1034,a+b two layers,Meiosis-expressed gene 1 protein
3277,alpha arrays,Thymine dioxygenase JBP1 DNA-binding domain-like
1079,alpha complex topology,Transmembrane reductase CcdA
1102,a+b complex topology,Hemolysin II
1145,few secondary structure elements,nigellin-1.1
1072,alpha bundles,Hsp90 co-chaperone Cdc37 N-terminal domain
1098,a+b three layers,Mid-cell-anchored protein Z (MapZ) extracellular domain 2
4276,a+b two layers,XisI-like
4326,a+b two layers,ERH-like
4146,alpha bundles,YqgQ-like
3017,alpha bundles,Alpha-helical subdomain in E2 regularoty transactivation domain
3407,mixed a+b and a/b,Nop N-terminal domain
3613,beta barrels,Protein CLP1 C-terminal domain
5081,alpha bundles,Rhomboid-like
6014,extended segments,Intrinsic membrane protein pufX
5052,alpha complex topology,Proton glutamate symport protein
1061,a+b two layers,gp120 inner domain
6037,extended segments,Subunit VI of Photosystem I reaction centre
6036,extended segments,Subunit N of Photosystem I reaction centre
4245,alpha duplicates or obligate multimers,SMc04008-like
4972,beta barrels,barrel domain in CV3147-like proteins
4176,a/b three-layered sandwiches,a/b domain in CV3147-like proteins
6096,a+b two layers,Dimerization domain of erythronate-4-phosphate dehydrogenase PdxB
4110,alpha arrays,UraD-like
4083,alpha arrays,AGR C 984p-like
5056,extended segments,Gated mechanosensitive channel
6050,a+b two layers,Phage tail assembly chaperone
4287,beta sandwiches,beta sandwich domain in YacF-like proteins
4946,alpha bundles,helical domain in YacF-like proteins
627,alpha complex topology,VPS9 domain
6018,extended segments,Apolipoprotein A-II
3768,alpha bundles,Hypothetical protein RHA1_ro05818 N-terminal helical domain
3435,a+b two layers,Recombination-associated protein rdgC
4296,alpha arrays,BH2638-like
6021,alpha bundles,Hexameric cytochrome HTHP
158,alpha bundles,Lipoxygenase
4338,alpha complex topology,PSPTO4464 N-terminal domain-like
3684,alpha complex topology,PSPTO4464 C-terminal domain-like
4237,beta barrels,FomD-like
4350,a+b two layers,PG1388-like
4092,alpha arrays,Helical domain in PH0156-like proteins
4156,alpha arrays,Sec63 N-terminal subdomain-like
4218,alpha bundles,TAFH domain-like
6049,alpha bundles,PH0832-like
6092,alpha bundles,Helical extension domain in Regulator of G-protein signaling 9
4085,alpha arrays,RbcX-like
3603,alpha arrays,Uncharacterized protein AF_2093 N-terminal domain
4093,a+b three layers,CofE-like
4162,few secondary structure elements,T-antigen specific domain-like
3623,a+b two layers,Uncharacterized protein VC_0899
4976,beta sandwiches,C-terminal domain in YerB-like proteins
4280,mixed a+b and a/b,N-terminal domain in YerB-like proteins
911,few secondary structure elements,"Ferredoxin thioredoxin reductase (FTR), catalytic beta chain"
4968,a+b complex topology,insertion domain in bacteriophage phi29 DNA polymerase
4201,alpha arrays,Jann4075-like
6034,a/b three-layered sandwiches,Core protein P7
6038,extended segments,Toxofilin
3813,alpha bundles,DUF416
6058,alpha arrays,C-terminal alpha domain in Alpha-Glycerophosphate Oxidase
830,alpha arrays,LigA-like domain
5082,alpha bundles,Cation efflux protein transmembrane domain-like
3438,alpha arrays,Unknown function protein VPA0580
4310,alpha arrays,Dcp2 box A domain
4086,a+b two layers,AMPKBI-like
3448,beta duplicates or obligate multimers,Multivesicular body subunit 12B MABP domain
6126,alpha bundles,Helical domain in EHD2
3609,alpha arrays,DNA repair protein RAD4 beta-hairpin domain
6025,few secondary structure elements,Scytovirin
3535,a+b two layers,Sex pheromone staph-cAM373
3581,a+b complex topology,E3 ubiquitin-protein ligase SopA catalytic domain
6043,a+b two layers,yfeY-like
6044,a+b three layers,DUF1827-like
3529,beta sandwiches,Major vault protein (MVP) structural repeat domain
3526,alpha arrays,Capsid assembly protein VP3
3523,beta meanders,Periplasmic lipopolysaccharide transport protein LptA (YhbN)
3536,a+b complex topology,Lmo1499 protein N-terminal domains
4351,alpha arrays,ATP12-like
6048,a+b two layers,DUF960-like
3532,alpha arrays,RNA-binding domain of telomerase
3325,a+b two layers,UvrB-binding domain of UvrA
3326,alpha arrays,DNA-binding domain in UvrA
4948,a+b complex topology,linker domain in MalF N-terminal region
4947,a+b complex topology,barrel domain in MalF N-terminal region
4274,extended segments,Transmembrane helices in MalF N-terminal region
839,a+b complex topology,"Rotavirus NSP2 fragment, N-terminal domain"
3814,alpha bundles,Uncharacterized protein GSU0061
6055,extended segments,Preprotein translocase subunit YajC
3534,beta barrels,Pfam PF06938 (DUF1285)
3816,beta barrels,Polymyxin B resistance protein
3187,alpha bundles,Microtubule-Binding Domain of Flagellar Dynein
3186,a+b two layers,C-terminal domain of FliK
7565,a/b three-layered sandwiches,Resolvase-like
3876,few secondary structure elements,Embryo surrounding factor (ESF) peptides
3483,beta sandwiches,P2X purinoceptor
841,a+b two layers,Subtilisin inhibitor
837,a+b two layers,Ribosomal protein S16
6027,alpha arrays,Host-nuclease inhibitor protein Gam
3587,alpha arrays,Protelomerase muzzle domain
3586,alpha arrays,Protelomerase stirrup domain
580,extended segments,Epsilon subunit of mitochondrial F1F0-ATP synthase
3513,a+b two layers,Putative lipoprotein LppA
3297,extended segments,Helical hairpin in Ndc80
3549,a+b complex topology,Capsid protein
501,few secondary structure elements,Heparin-binding domain from vascular endothelial growth factor
3121,a+b duplicates or obligate multimers,Polypeptide transport-associated (POTRA) domain
3531,alpha bundles,Ranasmurfin
3636,a+b two layers,XPD arch domain
3520,alpha arrays,Porin B (PorB)
3521,a+b three layers,Polymerase basic protein 2 cap-binding domain
4104,beta sandwiches,EscU C-terminal domain-like
5058,alpha bundles,"Mechanosensitive channel protein MscS (YggB), transmembrane region"
3553,alpha arrays,Nucleophosmin DNA-binding domain
3558,alpha arrays,HSDR subunit helical domain
3506,extended segments,Viral membrane protein P3
3507,extended segments,Viral membrane protein P6
4950,alpha complex topology,Botulinum neurotoxin A heavy chain
3818,alpha arrays,PHAX RNA-binding domain
3152,a+b two layers,Hypothetical Protein Vc0508
4262,a/b three-layered sandwiches,CobE/CbiG C-terminal domain-like
3489,a+b complex topology,ArdA
3066,a+b two layers,AFV1-102
3336,alpha complex topology,plant-specific ROP nucleotide exchanger (PRONE) domain
3074,extended segments,50S ribosomal protein L34
3268,a+b two layers,N-terminal domain in xanthine dehydrogenase
3081,a+b complex topology,Envelope glycoprotein GP1
3822,alpha complex topology,Intergenic-region protein
3082,extended segments,C-terminal region of nonsense mediated decay factor UPF2
3817,alpha bundles,Peroxisomal biogenesis factor 19
3333,a+b two layers,Barrel domain in dedicator of cytokinesis protein 9
3823,a/b three-layered sandwiches,a/b domain in family 98 glycoside hydrolases
3327,alpha bundles,HET-S N-terminal domain
3482,extended segments,mRNA-decapping enzyme 1A trimerization domain
3296,alpha bundles,N-terminal domain in glucosyltransferase (Lgt1)
3131,a+b two layers,FYR domain
3264,a+b two layers,N-terminal domain of alcaligin biosynthesis protein C
3275,alpha complex topology,Hypothetical protein ORF239
3827,alpha duplicates or obligate multimers,Hypothetical protein PA0856
3253,a+b two layers,ferredoxin-like domain in flagellar biosynthesis protein flhA
3149,a+b complex topology,Hypothetical protein ORF126
3824,alpha bundles,HIV Rev
3652,alpha duplicates or obligate multimers,Qua1
1021,a+b two layers,C-terminal domain in RNA helicases
3151,alpha arrays,SPP1 phage GP23.1
3153,a+b two layers,PipX
3324,extended segments,Helical arch in Ski2-like helicases
3678,alpha arrays,Pilus-presented adhesin helical insertion domain
3650,alpha arrays,C-terminal domain of Lmo2642 protein
3173,a+b complex topology,Colicin M-related
3145,beta sandwiches,C-terminal domain of envelope glycoprotein H
3146,a+b complex topology,gH main domain
3201,alpha arrays,HP0721
3285,alpha duplicates or obligate multimers,Alix V domain
6171,alpha bundles,C-terminal helical domain in  Jumonji domain-containing histone demethylases
3198,alpha bundles,ABA-1 repeat unit
3720,alpha bundles,Receptor activity-modifying protein (RAMP)
3345,alpha arrays,MRG domain
3279,alpha arrays,Helical domain in 5'->3' exoribonucleases
7102,a+b three layers,C-terminal segment in 5'->3' exoribonucleases
3711,alpha bundles,LTXXQ motif family protein
3633,alpha duplicates or obligate multimers,Haptoglobin-hemoglobin receptor
7593,a/b three-layered sandwiches,Peroxisome assembly protein 22
3220,alpha complex topology,ISWI one complex protein 3
3417,a+b three layers,Surfactant protein C BRICHOS domain
3583,few secondary structure elements,FusB family Zn-binding domain
3858,few secondary structure elements,Fe-S cluster binding domain in carbon monoxide dehydrogenase corrinoid/iron-sulfur protein gamma subunit
7595,a/b three-layered sandwiches,B12 binding domain in carbon monoxide dehydrogenase corrinoid/iron-sulfur protein gamma subunit
3393,extended segments,CAA3-type cytochrome c oxidase subunit IV
6074,extended segments,Transmembrane helix of E1 envelope glycoprotein
3406,alpha duplicates or obligate multimers,Oligomerisation domain of C4b-binding protein
3599,alpha superhelices,Mitochondrial malonyl-CoA decarboxylase helical domain
3192,extended segments,RPEL domain
7601,a/b three-layered sandwiches,Lactate racemase N-terminal domain
7602,a/b three-layered sandwiches,Lactate racemase C-terminal domain
6127,beta meanders,Beta meander domain in PfEMP1 protein
3421,a+b complex topology,Yos9 dimerization domain
3570,a+b two layers,FAM3 superfamily
3739,beta sandwiches,TraO N-terminal domain
3539,beta sandwiches,N-terminal domain in envelope glycoprotein E2
3540,beta sandwiches,C-terminal region of envelope glycoprotein E2
3670,alpha complex topology,NCD2 domain
5079,alpha duplicates or obligate multimers,Magnesium transporter MgtE membrane domain
3986,a+b two layers,GTP-binding protein lepA C-terminal domain-like
3664,alpha arrays,"Small, acid-soluble spore protein C"
3662,a+b two layers,Proteasome assembling chaperone 3 (PAC3)-related
3110,a/b three-layered sandwiches,STT3/PglB/AglB core domain
3111,beta barrels,STT3/PglB/AglB beta-barrel domain
3663,alpha bundles,CRISPR-associated protein Cse2
3665,beta barrels,hypothetical protein TTMA177
3659,a+b two layers,MotY N-terminal domain
919,few secondary structure elements,Ribosomal protein L36
3671,alpha duplicates or obligate multimers,Translocated intimin receptor Tir extracellular domain
3530,extended segments,Major vault protein (MVP) helical domain
3937,alpha bundles,Connexin 26
3265,alpha arrays,C-terminal helical domain in tRNA modifying enzyme GidA
7511,a/b three-layered sandwiches,Single-stranded-DNA-specific exonuclease RecJ C-terminal domain
6091,alpha bundles,Helical bundle domain in Endo-alpha-N-acetylgalactosaminidase
3078,extended segments,RNA polymerase PB1 C-terminal fragment
3079,extended segments,RNA polymerase PB2 N-terminal fragment
1091,alpha arrays,60S acidic ribosomal protein P1/P2
3278,extended segments,Transmembrane helix in sodium-potassium ATPase beta subunit
3254,alpha arrays,helical domain in flagellar biosynthesis protein flhA
3255,a/b three-layered sandwiches,a/b domain in flagellar biosynthesis protein flhA
4031,a+b three layers,Nigritoxin middle domain
3825,alpha arrays,Non-structural protein 3
3755,alpha bundles,YscO-like
3175,few secondary structure elements,zinc-finger domain of Nanos
1045,alpha bundles,Rad50-binding domain of Mre11
3497,beta barrels,Replication foci-targeting sequence N-terminal domain
3225,alpha complex topology,Serrate RNA effector molecule
6040,alpha bundles,DUF3235
3803,alpha bundles,PH domain-containing bacterial protein oligomerization domain
